,date,passengers
0,12/31/2022,1935413.0
1,12/30/2022,2383422.0
2,12/29/2022,2178433.0
3,12/28/2022,2153682.0
4,12/27/2022,2178719.0
5,12/26/2022,2218145.0
6,12/25/2022,1800463.0
7,12/24/2022,1834551.0
8,12/23/2022,2096506.0
9,12/22/2022,2366608.0
10,12/21/2022,2428528.0
11,12/20/2022,2216373.0
12,12/19/2022,2264761.0
13,12/18/2022,2357086.0
14,12/17/2022,2233861.0
15,12/16/2022,2453178.0
16,12/15/2022,2298485.0
17,12/14/2022,1993063.0
18,12/13/2022,1810814.0
19,12/12/2022,2167861.0
20,12/11/2022,2293624.0
21,12/10/2022,1886068.0
22,12/9/2022,2295917.0
23,12/8/2022,2220053.0
24,12/7/2022,1883346.0
25,12/6/2022,1752091.0
26,12/5/2022,2134176.0
27,12/4/2022,2261227.0
28,12/3/2022,1788666.0
29,12/2/2022,2132571.0
30,12/1/2022,2113719.0
31,11/30/2022,1893497.0
32,11/29/2022,1954785.0
33,11/28/2022,2389672.0
34,11/27/2022,2639616.0
35,11/26/2022,2336633.0
36,11/25/2022,1984980.0
37,11/24/2022,1426195.0
38,11/23/2022,2465337.0
39,11/22/2022,2370351.0
40,11/21/2022,2201022.0
41,11/20/2022,2385400.0
42,11/19/2022,2214717.0
43,11/18/2022,2458089.0
44,11/17/2022,2326100.0
45,11/16/2022,2034880.0
46,11/15/2022,1892613.0
47,11/14/2022,2229804.0
48,11/13/2022,2411406.0
49,11/12/2022,1945373.0
50,11/11/2022,2309163.0
51,11/10/2022,2203214.0
52,11/9/2022,1945183.0
53,11/8/2022,1896916.0
54,11/7/2022,2168053.0
55,11/6/2022,2396744.0
56,11/5/2022,1924975.0
57,11/4/2022,2272855.0
58,11/3/2022,2253501.0
59,11/2/2022,1897396.0
60,11/1/2022,1978549.0
61,10/31/2022,1925032.0
62,10/30/2022,2241429.0
63,10/29/2022,1830454.0
64,10/28/2022,2312356.0
65,10/27/2022,2310460.0
66,10/26/2022,2057463.0
67,10/25/2022,1981651.0
68,10/24/2022,2322585.0
69,10/23/2022,2416107.0
70,10/22/2022,2005659.0
